Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
203,1740310120975,3228,3228,3228,3228,3228,3228,3228,3228,51.30263900756836,51.304805755615234,54.45849609375,52.94139099121094,53.799713134765625,50.75951385498047,51.3115119934082,53.24937438964844,50.3438606262207,52.332733154296875,68.42105102539062,70.0,30.000001907348633,5.263157844543457,10.0,5.0,0.0,0.0,12.455485343933104,17179869184,15032385536,13695221760,13443399680
204,1740310121179,3228,3228,3228,3228,3228,3228,3228,3228,51.30263900756836,51.304805755615234,54.45849609375,52.94139099121094,53.799713134765625,50.75951385498047,51.3115119934082,53.24937438964844,50.3438606262207,52.332733154296875,76.19047546386719,65.0,45.0,42.85714340209961,25.0,19.047618865966797,4.761904716491699,5.0,12.455485343933104,17179869184,15032385536,13672316928,13443399680
201,1740310121384,3228,3228,3228,3228,3228,3228,3228,3228,51.30263900756836,51.304805755615234,54.45849609375,52.94139099121094,53.799713134765625,50.75951385498047,51.3115119934082,53.24937438964844,50.3438606262207,52.332733154296875,80.0,76.19047546386719,57.142860412597656,33.333335876464844,55.0,35.0,20.0,9.523809432983398,12.455485343933104,17179869184,15032385536,13702496256,13435011072
204,1740310121586,3228,3228,3228,3228,3228,3228,3228,3228,50.91893005371094,50.68804931640625,54.02178955078125,51.932735443115234,52.75292205810547,50.12850189208984,50.20745086669922,52.64521789550781,49.883060455322266,51.782936096191406,76.19047546386719,75.0,35.0,20.0,23.809524536132812,15.000000953674316,10.0,10.0,12.455485343933104,17179869184,15032385536,13684670464,13435011072
204,1740310121790,3228,3228,3228,3228,3228,3228,3228,3228,50.91893005371094,50.68804931640625,54.02178955078125,51.932735443115234,52.75292205810547,50.12850189208984,50.20745086669922,52.64521789550781,49.883060455322266,51.782936096191406,65.0,80.0,60.000003814697266,40.0,21.052631378173828,33.333335876464844,21.052631378173828,5.0,12.455485343933104,17179869184,15032385536,13685948416,13435011072
204,1740310121995,3228,3228,3228,3228,3228,3228,3228,3228,50.91893005371094,50.68804931640625,54.02178955078125,51.932735443115234,52.75292205810547,50.12850189208984,50.20745086669922,52.64521789550781,49.883060455322266,51.782936096191406,75.0,70.0,40.0,15.000000953674316,18.18181800842285,5.0,9.090909004211426,0.0,9.399908065795898,17179869184,15032385536,13680459776,13435011072
203,1740310122200,3228,3228,3228,3228,3228,3228,3228,3228,50.91893005371094,50.68804931640625,54.02178955078125,51.932735443115234,52.75292205810547,50.12850189208984,50.20745086669922,52.64521789550781,49.883060455322266,51.782936096191406,75.0,85.0,20.0,5.0,5.0,0.0,0.0,0.0,9.399908065795898,17179869184,15032385536,13695074304,13435011072
197,1740310122406,3228,3228,3228,3228,3228,3228,3228,3228,50.91893005371094,50.68804931640625,54.02178955078125,51.932735443115234,52.75292205810547,50.12850189208984,50.20745086669922,52.64521789550781,49.883060455322266,51.782936096191406,61.904762268066406,66.66667175292969,65.0,45.0,33.333335876464844,31.57894515991211,19.047618865966797,15.000000953674316,9.399908065795898,17179869184,15032385536,13728677888,13435011072
201,1740310122604,3228,3228,3228,3228,3228,3228,3228,3228,51.0224494934082,50.77653503417969,53.965362548828125,52.0880012512207,53.10684967041016,50.23712158203125,50.783634185791016,53.153350830078125,50.292476654052734,52.08393859863281,95.0,95.0,38.095237731933594,28.571430206298828,15.000000953674316,10.0,5.0,5.0,9.399908065795898,17179869184,15032385536,13710639104,13418233856
204,1740310122806,3228,3228,3228,3228,3228,3228,3228,3228,51.0224494934082,50.77653503417969,53.965362548828125,52.0880012512207,53.10684967041016,50.23712158203125,50.783634185791016,53.153350830078125,50.292476654052734,52.08393859863281,100.0,95.23809814453124,50.0,14.285715103149414,0.0,4.761904716491699,0.0,0.0,9.399908065795898,17179869184,15032385536,13722222592,13409845248
